total_events,total_sessions,active_days,core_events,payment_status,cluster,gender,is_push_on,ban_status,report_count,alarm_count,pending_chat,pending_votes,friend_id_count,block_user_id_count,hide_user_id_count,class,id,osname,school_grade,province
957,75,19,80.0,False,1,F,1,N,0,1,9,258,73,0,11,8.0,314036,iOS,H2.0,Seoul
957,75,19,215.0,False,2,F,1,N,0,0,0,0,27,0,0,1.0,18681,iOS,M3.0,Gyeongbuk
956,168,24,284.0,False,2,M,1,N,0,238,0,29,41,0,0,1.0,21641,Android,M3.0,Gyeonggi
956,20,3,166.0,False,1,M,1,N,0,0,0,0,40,0,0,4.0,363967,iOS,H1.0,Gyeonggi
954,56,19,70.0,True,1,M,0,N,0,0,0,0,70,0,0,9.0,71091,Android,H1.0,Seoul
947,81,22,131.0,False,2,F,1,N,1,0,3,43,85,0,0,5.0,60577,iOS,M2.0,Jeonbuk
945,18,8,70.0,True,1,M,1,N,0,0,0,78,48,0,0,9.0,47886,iOS,H1.0,Gyeonggi
939,55,15,431.0,False,2,F,1,N,0,1,0,1,30,4,1,1.0,3921,Android,M2.0,Jeonbuk
938,109,21,208.0,False,2,F,0,N,1,1,1,271,92,1,4,1.0,55783,iOS,M2.0,Gyeonggi
926,107,24,283.0,False,2,F,1,N,0,0,0,1,64,0,1,3.0,85002,iOS,M2.0,Chungbuk
925,96,24,212.0,False,2,F,1,N,1,0,0,0,22,0,0,1.0,25862,iOS,M2.0,Gyeonggi
924,59,24,205.0,False,2,F,1,N,0,0,0,1,106,0,0,1.0,33910,Android,M2.0,Chungnam
922,102,23,231.0,False,2,F,1,N,0,1,0,0,59,0,0,1.0,21183,Android,M3.0,Gyeonggi
919,60,10,43.0,False,1,F,1,W,10,0,32,0,41,0,0,1.0,56411,Android,H1.0,Daejeon
918,66,24,96.0,False,1,F,1,W,0,0,0,0,44,0,3,7.0,177042,iOS,M2.0,Gwangju
918,86,18,215.0,False,2,M,1,N,0,0,0,0,26,0,0,10.0,196012,Android,H1.0,Seoul
917,115,24,254.0,False,2,M,1,N,0,1,1,9,85,0,0,6.0,10538,Android,M2.0,Incheon
914,105,21,127.0,False,2,M,1,N,1,0,0,1,8,0,0,4.0,487721,iOS,H2.0,Daegu
911,81,21,163.0,False,2,F,1,N,0,0,0,0,51,0,0,2.0,90886,iOS,M3.0,Chungbuk
911,42,19,103.0,False,1,M,1,N,0,0,0,61,70,1,1,7.0,494008,Android,H1.0,Gyeongnam
908,102,17,68.0,False,1,F,0,W,1,0,0,0,78,0,1,5.0,69044,Android,M3.0,Chungbuk
906,78,21,211.0,False,2,M,1,N,0,0,0,4,25,0,0,2.0,14247,Android,M3.0,Busan
903,27,17,81.0,False,1,F,1,N,0,0,0,0,6,0,0,2.0,13965,iOS,H3.0,Incheon
898,39,15,95.0,False,1,M,1,N,0,0,0,79,36,0,0,7.0,36272,iOS,H1.0,Seoul
